DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
104,wos279,brornoxynil octanoate,161,EC50,36,45,CI_95,2,5,"10 individuals, one vessel",Bronate,145,EC50,31,32,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_ai_e,wos279_form_eb,wos_279_10,1,Daphnia magna,water flea,NA,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,NO,NA,environmental,acute,20,7.7,starved,336,YES,NA,275.6,NO,Emulsifiable concentrate,YES,NA,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
105,wos279,brornoxynil octanoate,81,EC50,18,18,CI_95,2,5,"10 individuals, one vessel",Buctril,61,EC50,14,17,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_ai_f,wos279_form_fa,wos_279_11,1,Daphnia magna,water flea,NA,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,NA,environmental,acute,20,7.7,starved,24,YES,NA,560,NO,Emulsifiable concentrate,YES,NA,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
106,wos279,brornoxynil octanoate,81,EC50,18,18,CI_95,2,5,"10 individuals, one vessel",Bronate,90,EC50,22,24,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_ai_f,wos279_form_fb,wos_279_12,1,Daphnia magna,water flea,NA,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,NA,environmental,acute,20,7.7,starved,24,YES,NA,560,NO,Emulsifiable concentrate,YES,NA,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
107,wos2111,glyphosate-IPA,162,IC50,12,15,CI_95,2,1,"2 replicates, fixed number of bacteria, luminiscence endpoint",Roundup,24.9,IC50,1,1.1,CI_95,2,1,"2 replicates, fixed number of bacteria, luminiscence endpoint",probit,wos2111_ai_a,wos2111_form_a,wos2111_1,1,Aliivibrio fischeri ,NA,Azur Environmental,Gammaproteobacteria,Proteobacteria,Bacteria,Aquatic,NA,0.25,herbicide,NO,NO,NA,environmental,acute,15,NA,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2003,NA
108,wos2111,glyphosate-IPA,41,IC50,11.6,18.1,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",Roundup,5.81,IC50,3.45,2.33,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",probit,wos2111_ai_b,wos2111_form_b,wos2111_2,1,Selenastrum capricornutum,NA,"Culture Collection of Algae, University of Texas at Austin",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,25,7.5,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2003,NA
109,wos2111,glyphosate-IPA,5.89,IC50,2.75,4.51,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",Roundup,1.85,IC50,1.52,8.64,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",probit,wos2111_ai_c,wos2111_form_c,wos2111_3,1,Skeletonema costatum,NA,"Culture Collection of Algae, University of Texas at Austin",Bacillariophyceae,Gyrista,Chromista ,Aquatic,NA,96,herbicide,NO,NO,NA,environmental,acute,20,8,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2003,NA
110,wos2111,glyphosate-IPA,386,IC50,290.8,1634,CI_95,3,1,"3 replicates, 2500 cells, cell count by haemocytometer endpoint",Roundup,29.5,IC50,18.2,36.5,CI_95,3,1,"3 replicates, 2500 cells, cell count by haemocytometer endpoint",probit,wos2111_ai_d,wos2111_form_d,wos2111_4,1,Tetrahymena pyriformis,NA,"Culture Collection of Algae and Chromista (Cumbria,UK).",Ciliatea ,Ciliophora,Chromista ,Aquatic,NA,40,herbicide,NO,NO,NA,environmental,acute,27,7.4,NA,NA,NO,NA,NA,NO,soluble concentrate,YES,NA,2003,NA
111,wos2111,glyphosate-IPA,64.09,IC50,45.09,260.91,CI_95,3,1,"3 replicates, 1000 cells, cell count by haemocytometer endpoint",Roundup,23.5,IC50,NA,NA,NA,3,1,"3 replicates, 1000 cells, cell count by haemocytometer endpoint",probit,wos2111_ai_e,wos2111_form_e,wos2111_5,1,Euplotes vannus,NA,"Culture Collection of Algae and Chromista (Cumbria,UK).",Spirotrichea,Ciliophora,Chromista ,Aquatic,NA,48,herbicide,NO,NO,NA,environmental,acute,20,8,NA,NA,NO,NA,NA,YES,soluble concentrate,YES,NA,2003,CIs for roundup could not be calculated
112,wos2111,glyphosate-IPA,415,LC50,76,93,CI_95,4,5,"4 replicates, 5 individuals",Roundup,5.39,LC50,0.58,0.66,CI_95,4,5,"4 replicates, 5 individuals",trimmed spearman–karber,wos2111_ai_f,wos2111_form_f,wos2111_6,1,Ceriodaphnia dubia,NA,"Aquatic Research Organisms (Hampton,NH,USA)",Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,NA,environmental,acute,25,8.07,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2003,NA
113,wos2111,glyphosate-IPA,49.3,LC50,10.9,13.8,CI_95,4,5,"4 replicates, 5 individuals",Roundup,1.77,LC50,0.44,0.57,CI_95,4,5,"4 replicates, 5 individuals",trimmed spearman–karber,wos2111_ai_g,wos2111_form_g,wos2111_7,1,Acartia tonsa,NA,Marine Biological Laboratory at Helsingør,Copepoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,NO,NA,environmental,acute,20,8,NA,NA,YES,NA,NA,NO,soluble concentrate,YES,NA,2003,NA
114,wos840,thiamethoxam,0.32,LC50,0.02,0.08,CI_95,5,10,"5 replicates, 10 individuals",Actara,0.35,LC50,0.05,0.05,CI_95,5,10,"5 replicates, 10 individuals","drc package, not reported adequately",wos840_ai_a,wos840_form_a,wos840_1,1,Folsomia candida,NA,"Department of Ecological Science, Vrije Universiteit, Amsterdam",Entognatha ,Arthropoda,Animalia,Terrestrial,adult,660,insecticide,NO,NO,female,environmental,chronic,20,NA,fed,264,YES,NA,NA,NO,Water-dispersible granules,YES,NA,2018,"Only include acute and chronic toxicity tests that were performed to test individuals with no history of pesticide exposure, and no history of parental exposure. Exclude multigenerational studies like some of the endpoints in. The formulation was curtailed one day early in comparison to the ai. I decided to include it because there was no difference between the two treatments and the difference of one day was highly unlikely to have changed the actara lc50."
115,wos44,S-metolachlor,18.71,EC50,0.52,0.54,CI_95,4,5,"4 replicates, 5 individuals",Primextra® GOLD TZ ,23.53,EC50,2.93,5.37,CI_95,4,5,"4 replicates, 5 individuals",probit,wos44_ai_a,wos44_form_a,wos44_1,1,Daphnia longispina,NA,EM7,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,NA,environmental,acute,20,NA,starved,24,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2015,NA
116,wos293,dimethoate,155.02,LC50,22.72,28.39,CI_95,24,1,"24 wells, 1 individual in each",nano dimethoate,251.81,LC50,45.66,59.26,CI_95,24,1,"24 wells, 1 individual in each",probit,wos293_ai_a,wos293_form_ab,wos293_1,1,Danio rerio ,zebrafish,wild-type,Actinopterygii ,Chordata,Animalia,Aquatic,embryo,96,insecticide,YES,NO,NA,environmental,acute,26,NA,NA,3,YES,NA,NA,NO,nanoparticles,YES,NA,2022,NA
117,wos293,dimethoate,155.02,LC50,22.72,28.39,CI_95,24,1,"24 wells, 1 individual in each",500 EC Nortox® ,5.27,LC50,0.98,1.18,CI_95,24,1,"24 wells, 1 individual in each",probit,wos293_ai_a,wos293_form_ac,wos293_2,1,Danio rerio ,zebrafish,wild-type,Actinopterygii ,Chordata,Animalia,Aquatic,embryo,96,insecticide,NO,NO,NA,environmental,acute,26,NA,NA,3,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2022,NA
118,wos128,glyphosate-IPA,2.152974504,LC50,1.473087819,0.793201133,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,4.532577904,LC50,2.492917847,2.039660057,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_ai_a,wos128_form_ad,wos128_1,1,Daphnia magna,water flea,Reading,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,female,environmental,acute,21,7.5,NA,24,YES,NA,NA,NO,soluble concentrate,YES,NA,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
119,wos128,glyphosate-IPA,7.138810198,LC50,1.359773371,2.039660057,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,8.158640227,LC50,2.039660057,3.059490085,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_ai_b,wos128_form_b,wos128_2,1,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,NO,female,environmental,acute,21,7.5,NA,24,YES,NA,NA,NO,soluble concentrate,YES,NA,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
120,wos128,glyphosate-IPA,10.31161473,LC50,3.28611898,4.419263456,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,14.0509915,LC50,2.039660057,2.492917847,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_ai_c,wos128_form_c,wos128_3,1,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,NO,female,environmental,acute,21,7.5,NA,168,YES,NA,NA,NO,soluble concentrate,YES,NA,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
121,wos128,glyphosate-IPA,22.32294618,LC50,6.458923513,7.932011331,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,31.16147309,LC50,3.626062323,4.872521246,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_ai_d,wos128_form_d,wos128_4,1,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,NO,female,environmental,acute,21,7.5,NA,504,YES,NA,NA,NO,soluble concentrate,YES,NA,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
122,wos128,glyphosate-IPA,1.8645,LC50,5.2295,5.2295,SE,2,5,"1 replicate, 10 individuals",Roundup Plus,1.1022,LC50,1.1396,1.1396,SE,2,5,"1 replicate, 10 individuals",three parameter logistic,wos128_ai_e,wos128_form_e,wos128_5,1,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,1320,herbicide,NO,NO,female,environmental,chronic,21,7.5,fed,24,YES,NA,NA,NO,soluble concentrate,YES,NA,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
123,wos996,cycloxydim,>100,LC50,NA,NA,NA,5,5,"5 replicates, 5 individuals",Focus Ultra,3.1752,LC50,0.09612,0.09612,SE,5,5,"5 replicates, 5 individuals","drc package, specific model not reported",wos996_ai_a,wos996_form_a,wos996_1,1,Rana temporaria,european common frogs,"Palatinate Forest, SW Germany",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,96,herbicide,NO,NO,NA,environmental,acute,21,NA,starved,20 (Gosner Stage),NO,NA,NA,YES,Emulsifiable concentrate,NO,YES,2021,NA
124,wos941,thiacloprid,0.51,LC50,-0.264,1.284,CI_95,3,5,"3 replicates, 5 individuals",Calypso,0.032,LC50,0.005,0.004,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_ai_a,wos941_form_a,wos941_1,1,Eisenia andrei,NA,NA,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,insecticide,NO,NO,hermaphrodite,environmental,acute,20,NA,NA,NA,YES,NA,NA,NO,Aqueous suspension concentrates,YES,NA,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
125,wos941,esfenvalerate,0.032,LC50,0.006,0.008,CI_95,3,5,"3 replicates, 5 individuals",Sumialfa,0.084,LC50,0.05,0.05,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_ai_b,wos941_form_b,wos941_2,1,Eisenia andrei,NA,NA,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,insecticide,NO,NO,hermaphrodite,environmental,acute,20,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
126,wos941,dimethenamid-p,6.042,LC50,0.56,0.56,CI_95,3,5,"3 replicates, 5 individuals",Frontier,2.524,LC50,0.57,0.571,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_ai_c,wos941_form_c,wos941_3,1,Eisenia andrei,NA,NA,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,herbicide,NO,NO,hermaphrodite,environmental,acute,20,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
127,wos941,prosulfocarb,12.464,LC50,5.207,5.207,CI_95,3,5,"3 replicates, 5 individuals",Filon,8.473,LC50,3.998,3.997,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_ai_d,wos941_form_d,wos941_4,1,Eisenia andrei,NA,NA,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,herbicide,NO,NO,hermaphrodite,environmental,acute,20,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
128,wos253,azinphos methyl,31.6,LC50,1.7,1.7,CI_95,6,5,"6 replicates, 5 individuals",Gusathion,18.4,LC50,1,1,CI_95,6,5,"6 replicates, 5 individuals",probit,wos253_ai_a,wos253_form_a,wos253_1,1,Xenopus laevis,african clawed frog,"Laboratory of Environmental Toxicology, Inonu University",Amphibia,Chordata,Animalia,Aquatic,embryo,96,insecticide,NO,NO,NA,environmental,acute,23,NA,NA,8 (stage),YES,NA,NA,NO,wettable powder,YES,NA,2014,may be inaccurate. Read note for below effect size.
129,wos253,azinphos methyl,31.6,LC50,1.1,0.9,CI_95,6,5,"6 replicates, 5 individuals",Gusathion,30.4,LC50,2.1,1.8,CI_95,6,5,"6 replicates, 5 individuals",probit,wos253_ai_b,wos253_form_b,wos253_2,1,Xenopus laevis,african clawed frog,"Laboratory of Environmental Toxicology, Inonu University",Amphibia,Chordata,Animalia,Aquatic,larvae,96,insecticide,NO,NO,NA,environmental,acute,23,NA,NA,46 (stage),YES,NA,NA,NO,wettable powder,YES,NA,2014,"there was a nominal and measured LC50, which were very different. In the discussion the authors comment that the actual concentration of AzM in the formulation must be higher than the label indicates. This raises the question of if the result for embryos above, which only had a nominal LC50, is different for this reason, rather than diverging toxicities between the ai and formulation."
130,wos23,acetochlor,0.003,EC50,0.0003,0.0002,CI_95,3,1,3 replicate flasks per concentration,Harness,0.0022,EC50,0.0004,0.0004,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_ai_a,wos23_form_aa,wos23_1,1,Raphidocelis subcapitata,NA,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,herbicide,NO,NO,NA,environmental,acute,22.5,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed.
131,wos23,acetochlor,0.003,EC50,0.0003,0.0002,CI_95,3,1,3 replicate flasks per concentration,Surpass,0.002,EC50,-0.0002,0.0015,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_ai_a,wos23_form_ab,wos23_2,1,Raphidocelis subcapitata,NA,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,herbicide,NO,NO,NA,environmental,acute,22.5,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed. Negative lower CI for formulation.
132,wos23,S‐metolachlor,0.046,EC50,0.011,0.011,CI_95,3,1,3 replicate flasks per concentration,Dual II Magnum,0.051,EC50,0.008,0.005,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_ai_b,wos23_form_ba,wos23_3,1,Raphidocelis subcapitata,NA,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,herbicide,NO,NO,NA,environmental,acute,22.5,NA,NA,NA,YES,NA,NA,NO,Emulsifiable concentrate,YES,NA,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed.
133,wos23,S‐metolachlor,0.046,EC50,0.011,0.011,CI_95,3,1,3 replicate flasks per concentration,Me‐Too‐Lachlor II,0.15,EC50,0.02,0.02,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_ai_b,wos23_form_bb,wos23_4,1,Raphidocelis subcapitata,NA,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,herbicide,NO,NO,NA,environmental,acute,22.5,NA,NA,NA,YES,NA,NA,NO,liquid formulation,YES,NA,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed.
134,wos1565,copper sulfate,0.9,LC50,0.12,0.12,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,>6.40,LC50,NA,NA,NA,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_aa,wos1565_1,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,6,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,YES,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
135,wos1565,copper sulfate,0.9,LC50,0.12,0.12,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.67,LC50,0.06,0.07,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_ab,wos1565_2,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,6,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
136,wos1565,copper sulfate,0.6,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,1.04,LC50,0.14,0.16,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_aa,wos1565_1,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,24,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
137,wos1565,copper sulfate,0.6,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.48,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_ab,wos1565_2,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,24,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
138,wos1565,copper sulfate,0.44,LC50,0.05,0.07,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,0.9,LC50,0.13,0.14,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_aa,wos1565_1,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,48,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
139,wos1565,copper sulfate,0.44,LC50,0.05,0.07,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.41,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_ab,wos1565_2,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,48,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
140,wos1565,copper sulfate,0.34,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,0.81,LC50,0.12,0.13,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_aa,wos1565_1,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,72,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
141,wos1565,copper sulfate,0.34,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.31,LC50,0.04,0.06,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_ab,wos1565_2,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,72,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
142,wos1565,copper sulfate,0.28,LC50,0.03,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,0.69,LC50,0.1,0.12,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_aa,wos1565_1,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,96,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
143,wos1565,copper sulfate,0.28,LC50,0.03,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.24,LC50,0.04,0.04,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_a,wos1565_form_ab,wos1565_2,1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Actinopterygii ,Chordata,Animalia,Aquatic,adult,96,algaecide,NO,NO,NA,environmental,acute,21,8.1,starved,1080,YES,NA,132,NO,liquid formulation,YES,NA,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
144,wos1565,copper sulfate,>1,LC50,NA,NA,NA,6,5,"at least 6 replicates, 5 per container",Captain,0.84,LC50,0.07,0.08,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_f,wos1565_form_fa,wos1565_3,1,Salvelinus fontinalis,brook trout,New York State Rome Lab,Actinopterygii ,Chordata,Animalia,Aquatic,adult (small),8,algaecide,NO,NO,NA,environmental,acute,13,8.1,starved,NA,YES,NA,132,YES,liquid formulation,YES,NA,2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
145,wos1565,copper sulfate,>1,LC50,NA,NA,NA,6,5,"at least 6 replicates, 5 per container",Captain XTR,>1,LC50,NA,NA,NA,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_f,wos1565_form_fb,wos1565_4,1,Salvelinus fontinalis,brook trout,New York State Rome Lab,Actinopterygii ,Chordata,Animalia,Aquatic,adult (small),8,algaecide,NO,NO,NA,environmental,acute,13,8.1,starved,NA,YES,NA,132,YES,liquid formulation,YES,NA,2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
146,wos1565,copper sulfate,0.41,LC50,0.05,0.04,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,0.32,LC50,0.03,0.04,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_f,wos1565_form_fa,wos1565_3,1,Salvelinus fontinalis,brook trout,New York State Rome Lab,Actinopterygii ,Chordata,Animalia,Aquatic,adult (small),24,algaecide,NO,NO,NA,environmental,acute,13,8.1,starved,NA,YES,NA,132,NO,liquid formulation,YES,NA,2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
147,wos1565,copper sulfate,0.41,LC50,0.05,0.04,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.45,LC50,0.06,0.06,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_f,wos1565_form_fb,wos1565_4,1,Salvelinus fontinalis,brook trout,New York State Rome Lab,Actinopterygii ,Chordata,Animalia,Aquatic,adult (small),24,algaecide,NO,NO,NA,environmental,acute,13,8.1,starved,NA,YES,NA,132,NO,liquid formulation,YES,NA,2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
148,wos1565,copper sulfate,0.26,LC50,0.02,0.02,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,0.21,LC50,0.03,0.03,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_ai_f,wos1565_form_fa,wos1565_3,1,Salvelinus fontinalis,brook trout,New York State Rome Lab,Actinopterygii ,Chordata,Animalia,Aquatic,adult (small),48,algaecide,NO,NO,NA,environmental,acute,13,8.1,starved,NA,YES,NA,132,NO,liquid formulation,YES,NA,2014,"there were two sets of values for the brook trout, for small and large specimens. Label adult (small) and adult (big)"
